"","KEGG_PATHWAY_ID","KEGG_PATHWAY_description","KEGG_PATHWAY_cnt","KEGG_PATHWAY_in_list","KEGG_DATABASE_cnt","KEGG_DATABASE_in_list","expected","enrich_p","p_adj","org_name","fold_enrichment"
"24","map00760","Nicotinate and nicotinamide metabolism",55,6,3175,58,1.00472440944882,0.00041420271576444,0.000764681936795888,NA,5.9717868338558
"46","map05034","Alcoholism",10,3,3175,58,0.182677165354331,0.000634065244945792,0.00112722710212585,NA,16.4224137931034
"8","map00280","Valine, leucine and isoleucine degradation",42,5,3175,58,0.767244094488189,0.00086661185328067,0.00148562031990972,NA,6.51683087027915
"33","map04024","cAMP signaling pathway",25,4,3175,58,0.456692913385827,0.000953018677459872,0.00157741022476117,NA,8.75862068965517
"37","map04721","Synaptic vesicle cycle",12,3,3175,58,0.219212598425197,0.00113255847042267,0.00175363892194478,NA,13.6853448275862
"38","map04725","Cholinergic synapse",12,3,3175,58,0.219212598425197,0.00113255847042267,0.00175363892194478,NA,13.6853448275862
"18","map00471","D-Glutamine and D-glutamate metabolism",13,3,3175,58,0.23748031496063,0.00145328980357395,0.00215976419540165,NA,12.632625994695
"4","map00230","Purine metabolism",95,7,3175,58,1.73543307086614,0.00148483788433863,0.00215976419540165,NA,4.03357531760436
"25","map00770","Pantothenate and CoA biosynthesis",30,4,3175,58,0.548031496062992,0.00192880725505273,0.00272302200713327,NA,7.29885057471264
"23","map00730","Thiamine metabolism",31,4,3175,58,0.566299212598425,0.00218465600032764,0.00291287466710352,NA,7.06340378197998
"47","map05200","Pathways in cancer",31,4,3175,58,0.566299212598425,0.00218465600032764,0.00291287466710352,NA,7.06340378197998
"34","map04066","HIF-1 signaling pathway",15,3,3175,58,0.274015748031496,0.00225271064034884,0.00292243542531741,NA,10.948275862069
"40","map04742","Taste transduction",32,4,3175,58,0.584566929133858,0.00246305193941665,0.00311122350242103,NA,6.8426724137931
"19","map00480","Glutathione metabolism",38,4,3175,58,0.694173228346457,0.00466056092179848,0.00573607498067505,NA,5.76225045372051
"7","map00270","Cysteine and methionine metabolism",63,5,3175,58,1.15086614173228,0.00534605567148563,0.00641526680578276,NA,4.34455391351943
"44","map04976","Bile secretion",97,6,3175,58,1.77196850393701,0.00780875714172816,0.0091419595805598,NA,3.38606469960896
"10","map00310","Lysine degradation",50,4,3175,58,0.913385826771653,0.0123630578966018,0.0141292090246878,NA,4.37931034482759
"36","map04216","Ferroptosis",29,3,3175,58,0.529763779527559,0.0150957140459733,0.0168510296327144,NA,5.66290130796671
"15","map00380","Tryptophan metabolism",83,5,3175,58,1.51622047244094,0.0167408197251864,0.0182627124274761,NA,3.29767345243041
"26","map00920","Sulfur metabolism",33,3,3175,58,0.602834645669291,0.0214113993447787,0.022838825967764,NA,4.97648902821317
"12","map00340","Histidine metabolism",47,3,3175,58,0.858582677165354,0.0532260005078043,0.0555401744429262,NA,3.49413059427733
"2","map00130","Ubiquinone and other terpenoid-quinone biosynthesis",71,3,3175,58,1.29700787401575,0.138794671229621,0.141747749340889,NA,2.31301602719767
"11","map00330","Arginine and proline metabolism",78,3,3175,58,1.42488188976378,0.169402472535168,0.169402472535168,NA,2.10543766578249
